, Year , Month , Volume (m3) ," Volume
(m³ per day) ", Volume (bbl) ," Volume
(bbl per day) ",,,
,2022,December," 6,21,679 "," 20,054 "," 39,12,139 "," 1,26,198 ",,,
,,November," 5,81,166 "," 19,372 "," 36,57,196 "," 1,21,907 ",,,
,,October," 6,89,254 "," 22,234 "," 43,37,374 "," 1,39,915 ",,,
,,September," 6,05,734 "," 20,191 "," 38,11,797 "," 1,27,060 ",,,
,,August," 7,64,283 "," 24,654 "," 48,09,527 "," 1,55,146 ",,,
,,July," 7,54,660 "," 24,344 "," 47,48,965 "," 1,53,192 ",,,
,,June," 8,11,142 "," 27,038 "," 51,04,401 "," 1,70,147 ",,,
,,May," 8,52,839 "," 27,511 "," 53,66,797 "," 1,73,122 ",,,
,,April," 6,87,299 "," 22,910 "," 43,25,073 "," 1,44,169 ",,,
,,March," 7,48,263 "," 24,138 "," 47,08,711 "," 1,51,894 ",,,
,,February," 5,55,214 "," 19,829 "," 34,93,880 "," 1,24,781 ",,,
,,January," 6,52,563 "," 21,050 "," 41,06,489 "," 1,32,467 ",,,
,2021,December," 6,52,019 "," 21,033 "," 41,03,065 "," 1,32,357 ",,,
,,November," 6,30,694 "," 21,023 "," 39,68,868 "," 1,32,296 ",,,
,,October," 6,53,555 "," 21,082 "," 41,12,728 "," 1,32,669 ",,,
,,September," 7,87,256 "," 26,242 "," 49,54,089 "," 1,65,136 ",,,
,,August," 8,35,957 "," 26,966 "," 52,60,559 "," 1,69,695 ",,,
,,July," 7,08,627 "," 22,859 "," 44,59,291 "," 1,43,848 ",,,
,,June," 6,33,252 "," 21,108 "," 39,84,965 "," 1,32,832 ",,,
,,May," 6,31,973 "," 20,386 "," 39,76,917 "," 1,28,288 ",,,
,,April," 6,19,556 "," 20,652 "," 38,98,778 "," 1,29,959 ",,,
,,March," 8,64,946 "," 27,901 "," 54,42,979 "," 1,75,580 ",,,
,,February," 4,97,767 "," 17,777 "," 31,32,377 "," 1,11,871 ",,,
,,January," 9,58,715 "," 30,926 "," 60,33,055 "," 1,94,615 ",,,
,2020,December," 9,38,216 "," 30,265 "," 59,04,059 "," 1,90,454 ",,,
,,November," 8,25,200 "," 27,507 "," 51,92,864 "," 1,73,095 ",,,
,,October," 4,57,211 "," 14,749 "," 28,77,162 "," 92,812 ",,,
,,September," 3,55,962 "," 11,865 "," 22,40,019 "," 74,667 ",,,
,,August," 2,51,495 "," 8,113 "," 15,82,620 "," 51,052 ",,,
,,July," 1,91,468 "," 6,176 "," 12,04,879 "," 38,867 ",,,
,,June," 2,04,137 "," 6,805 "," 12,84,607 "," 42,820 ",,,
,,May," 2,85,956 "," 9,224 "," 17,99,479 "," 58,048 ",,,
,,April," 7,44,852 "," 24,828 "," 46,87,247 "," 1,56,242 ",,,
,,March," 17,26,969 "," 55,709 "," 1,08,67,570 "," 3,50,567 ",,,
,,February," 18,98,619 "," 65,470 "," 1,19,47,735 "," 4,11,991 ",,,
,,January," 19,89,048 "," 64,163 "," 1,25,16,792 "," 4,03,767 ",,,
,2019,December," 17,10,070 "," 55,164 "," 1,07,61,227 "," 3,47,136 ",,,
,,November," 14,41,371 "," 48,046 "," 90,70,344 "," 3,02,345 ",,,
,,October," 13,30,425 "," 42,917 "," 83,72,172 "," 2,70,070 ",,,
,,September," 15,23,602 "," 50,787 "," 95,87,812 "," 3,19,594 ",,,
,,August," 15,83,842 "," 51,092 "," 99,66,892 "," 3,21,513 ",,,
,,July," 15,99,426 "," 51,594 "," 1,00,64,957 "," 3,24,676 ",,,
,,June," 14,22,060 "," 47,402 "," 89,48,820 "," 2,98,294 ",,,
,,May," 14,59,022 "," 47,065 "," 91,81,414 "," 2,96,175 ",,,
,,April," 11,43,953 "," 38,132 "," 71,98,731 "," 2,39,958 ",,,
,,March," 8,57,731 "," 27,669 "," 53,97,578 "," 1,74,115 ",,,
,,February," 5,89,230 "," 21,044 "," 37,07,939 "," 1,32,426 ",,,
,,January," 16,59,957 "," 53,547 "," 1,04,45,873 "," 3,36,964 ",,,
,2018,December," 17,97,545 "," 57,985 "," 1,13,11,696 "," 3,64,893 ",,,
,,November," 16,11,713 "," 53,724 "," 1,01,42,281 "," 3,38,076 ",,,
,,October," 17,05,437 "," 55,014 "," 1,07,32,068 "," 3,46,196 ",,,
,,September," 13,54,350 "," 45,145 "," 85,22,733 "," 2,84,091 ",,,
,,August," 11,90,886 "," 38,416 "," 74,94,073 "," 2,41,744 ",,,
